client_id,entity_type,total_payment,rank
591,Australian Private Company,242349.96000000054,1
1269,Australian Private Company,217316.74,2
1259,Australian Private Company,200541.98,3
1195,Discretionary Investment Trust,172656.59,1
1267,Australian Private Company,162987.53000000003,4
298,Australian Private Company,108658.31999999999,5
1279,Discretionary Trading Trust,108658.31999999999,1
623,Australian Private Company,108026.23999999999,6
1205,Australian Private Company,104270.90000000001,7
56,Australian Private Company,103662.42000000001,8
1193,Australian Private Company,102383.26000000001,9
563,Australian Private Company,97696.7,10
1262,Australian Private Company,92121.69999999998,11
732,Australian Private Company,91749.94,12
403,Australian Private Company,74999.94,13
707,Australian Private Company,70314.49000000002,14
252,Australian Private Company,67933.36,15
1197,Australian Private Company,67933.36,15
809,Individual/Sole Trader,67808.38,1
506,Australian Private Company,67630.0,16
468,Australian Private Company,67464.23000000001,17
1207,Australian Private Company,67083.39000000001,18
275,Australian Private Company,66013.44,19
1228,Australian Private Company,63487.530000000006,20
1220,Fixed Unit Trust,62812.56000000001,1
1219,Fixed Unit Trust,62812.560000000005,2
301,Individual/Sole Trader,49043.350000000006,2
331,Individual/Sole Trader,48766.66000000002,3
195,Individual/Sole Trader,48377.36,4
1110,Individual/Sole Trader,47975.0,5
984,Individual/Sole Trader,47883.280000000006,6
739,Individual/Sole Trader,47883.28,7
1041,Individual/Sole Trader,45950.030000000006,8
1074,Individual/Sole Trader,44650.0,9
600,Australian Proprietary Company,44016.62,1
1222,Discretionary Trading Trust,42812.53,2
345,Individual/Sole Trader,42289.61000000002,10
173,Individual/Sole Trader,41750.0,11
341,Individual/Sole Trader,41750.0,11
420,Individual/Sole Trader,41750.0,11
792,Family Partnership,40925.72000000001,1
690,Individual/Sole Trader,40599.90000000001,12
605,Individual/Sole Trader,40390.0,13
292,Individual/Sole Trader,39047.81999999999,14
310,Individual/Sole Trader,38850.0,15
1257,Family Partnership,35950.0,2
1151,Individual/Sole Trader,35950.0,16
726,Individual/Sole Trader,35840.0,17
165,Individual/Sole Trader,35150.01,18
1038,Individual/Sole Trader,34952.89000000001,19
309,Individual/Sole Trader,34833.350000000006,20
1225,Discretionary Trading Trust,34050.020000000004,3
40,Family Partnership,28343.760000000002,3
1245,Family Partnership,25950.030000000002,4
627,Australian Public Company,25950.03,1
639,Family Partnership,24789.96,5
1248,Family Partnership,24016.7,6
158,Family Partnership,23623.350000000002,7
1255,Discretionary Trading Trust,23613.38,4
797,Discretionary Investment Trust,23243.18,2
1274,Discretionary Trading Trust,21731.73,5
426,Discretionary Trading Trust,18995.36,6
582,Hybrid Trust,17024.96,1
866,Family Partnership,16240.0,8
115,Family Partnership,16063.239999999998,9
1169,Family Partnership,15630.0,10
763,Family Partnership,14303.32,11
855,Family Partnership,14192.49,12
534,Family Partnership,13949.969999999998,13
520,Australian Public Company,13533.31,2
451,Discretionary Trading Trust,12997.380000000001,7
274,Discretionary Investment Trust,12250.0,3
35,Family Partnership,12180.0,14
471,Discretionary Trading Trust,11881.619999999999,8
919,Discretionary Trading Trust,11199.96,9
714,Australian Public Company,10650.0,3
820,Family Partnership,10210.0,15
1104,Family Partnership,10053.279999999999,16
1278,Fixed Unit Trust,9999.98,3
834,Family Partnership,8506.64,17
476,Family Partnership,8119.9800000000005,18
435,Fixed Unit Trust,7723.5,4
382,Family Partnership,7443.3099999999995,19
895,Family Partnership,7443.3099999999995,19
1047,Family Partnership,7443.3099999999995,19
218,Other Partnership,7443.3099999999995,1
862,Other Partnership,6600.03,2
985,Family Partnership,5413.3099999999995,20
219,Other Partnership,4736.62,3
464,Other Partnership,3866.64,4
155,Discretionary Trading Trust,3600.0000000000005,10
965,Australian Public Company,3383.3099999999995,4
42,Australian Public Company,2899.98,5
1,Other Partnership,2899.98,5
75,Other Partnership,941.6600000000001,6
1076,Discretionary Trading Trust,841.4999999999999,11
